Resource,Slug,URL,Bucket,Topic,Type,Created,Modified,Published,Keep?
Competency-Based Governance Enters the Health Care Boardroom,competencybased-governance-enters-the-health-care-boardroom,/boardcomp/10-competency-based-governance.pdf,Good Governance Practices,Board Composition & Selection,,7/5/18,7/5/18,,Yes
Governance of Physician Organizations: An Essential Step to Care Integration ,governance-of-physician-organizations-an-essential-step-to-care-integration-,/boardcomp/15-BRP-Governance-of-Physician-Organizations.pdf,Good Governance Practices,Physician Issues,,2/6/17,7/5/18,2015,Yes
Recruiting a More Diverse Board,recruiting-a-more-diverse-board,/boardcomp/archive/GB-2007-Winter-Developing-Diverse-Board-reprint.pdf,Good Governance Practices,Board Composition & Selection,,2/6/17,7/5/18,1/1/07,Yes
What to Ask Prospective Board Members,what-to-ask-prospective-board-members,/boardcomp/archive/GB-update-2008-01.pdf,Good Governance Practices,Board Composition & Selection,,2/6/17,7/5/18,1/1/08,Yes
Term Limits for Board Members,term-limits-for-board-members,/boardcomp/archive/GI05_2.pdf,Good Governance Practices,Board Composition & Selection,,2/6/17,7/5/18,1/1/05,Yes
Bringing Competencies into Governance: Systems Helping Systems,bringing-competencies-into-governance-systems-helping-systems,/boardcomp/bringing-competencies-to-governance.pdf,Good Governance Practices,Board Composition & Selection,,10/11/17,10/11/17,1/1/17,Yes
Competency-Based Governance: A Foundation for Board and Organizational Effectiveness,competencybased-governance-a-foundation-for-board-and-organizational-effectiveness,/boardcomp/brp-2009.pdf,Good Governance Practices,Board Composition & Selection,,2/6/17,4/5/17,1/1/09,Yes
How to Be a Better Beta,how-to-be-a-better-beta,/boardcomp/center-voices-2-14.pdf,Good Governance Practices,Board Development,,7/5/18,7/5/18,1/1/14,Yes
Governing in the Digital Age,governing-in-the-digital-age,/boardcomp/center-voices-2-15.pdf,Good Governance Practices,Board Composition & Selection,,2/6/17,2/6/17,1/1/15,Yes
Recruiting the Right Mix,recruiting-the-right-mix,/boardcomp/center-voices-6-13.pdf,Good Governance Practices,Board Composition & Selection,,2/6/17,2/6/17,1/1/13,Yes
"Small City, Big Champions",small-city-big-champions,/boardcomp/center-voices/2014/center-voices-9-14.pdf,Good Governance Practices,Board Composition & Selection,,2/6/17,2/6/17,1/1/14,Yes
Policy on Board Composition and Recruitment,policy-on-board-composition-and-recruitment,/boardcomp/Policy_on_Board_Composition.PDF,Good Governance Practices,Board Composition & Selection,,2/6/17,2/6/17,1/1/16,Yes
